Lp.	MatID	xTime	xLoc	EnThick	ExThick	EnTens	ExTens	RollForce	FSlip	Daiameter	Rolled length for Work Rolls [m]	youngModulus	Backup roll dia.	Rolled length for Backup rolls	mu	torque	averageSigma	inputError	LubWFlUp	LubWFlLo	LubOilFlUp	LubOilFlLo	Work roll speed	
48	1939351	9.87	35.251	11.7843	8.1481	13.756	15.96	1296.84	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2367.445	2276.15	8.057	8.315	3.444	 
49	1939351	10.08	35.976	11.7707	8.1554	14.368	16.416	1303.44	8.8	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2386.717	2285.578	8.523	8.481	3.446	 
50	1939351	10.276	36.702	11.768	8.1556	14.278	16.406	1301.72	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2394.904	2288.155	8.697	8.935	3.45	 
51	1939351	10.486	37.485	11.7664	8.1496	14.281	16.497	1295.71	8.8	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2391.868	2288.603	8.937	9.358	3.454	 
52	1939351	10.696	38.212	11.7674	8.141	14.023	16.614	1289.22	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2384.101	2281.539	8.881	9.445	3.457	 
53	1939351	10.906	38.996	11.7649	8.1325	13.797	16.078	1287.68	8.6	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2364.223	2275.896	8.857	9.608	3.462	 
54	1939351	11.116	39.725	11.7592	8.135	14.11	15.418	1287.15	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2341.322	2272.129	8.799	9.886	3.465	 
55	1939351	11.312	40.456	11.765	8.1234	13.961	15.242	1281.36	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2325.145	2264.687	8.952	10.037	3.47	 
56	1939351	11.536	41.243	11.7736	8.1244	13.656	15.716	1286.66	8.8	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2315.235	2262.832	9.163	10.562	3.473	 
57	1939351	11.732	41.974	11.7818	8.125	13.399	15.433	1286.89	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2319.905	2262.605	9.443	10.863	3.477	 
58	1939351	11.942	42.706	11.7713	8.1418	14.006	15.222	1297.1	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2320.477	2258.073	9.838	10.859	3.477	 
59	1939351	12.152	43.495	11.7632	8.1424	14.256	15.299	1293.38	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2323.866	2252.241	10.22	10.872	3.481	 
60	1939351	12.348	44.171	11.7921	8.1487	14.37	15.528	1297.9	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2339.396	2256.726	10.449	11.044	3.484	 
61	1939351	12.558	44.961	11.7795	8.1533	14.198	15.595	1304.12	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2361.83	2269.508	10.759	11.3	3.487	 
62	1939351	12.768	45.752	11.7926	8.1477	14.4	15.711	1299.03	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2380.853	2279.883	10.879	11.696	3.488	 
63	1939351	12.964	46.487	11.7862	8.149	14.74	15.609	1303.58	8.8	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2388.677	2287.662	11.131	11.951	3.494	 
64	1939351	13.174	47.224	11.7978	8.1512	15.198	15.338	1302.68	8.6	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2397.574	2290.92	11.051	12.305	3.498	 
65	1939351	13.384	48.017	11.7821	8.1561	15.062	15.229	1313.6	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2404.631	2287.002	11.3	12.294	3.504	 
66	1939351	13.594	48.698	11.781	8.1658	14.834	15.447	1318.46	8.6	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2394.354	2281.466	11.511	12.242	3.506	 
67	1939351	13.804	49.494	11.7791	8.1623	14.613	15.405	1316.56	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2377.006	2278.844	12.018	12.759	3.507	 
68	1939351	14	50.232	11.7719	8.1621	14.981	15.431	1317.6	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2350.813	2273.031	12.278	13.144	3.51	 
69	1939351	14.21	50.971	11.7809	8.1594	15.525	15.398	1317.7	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2329.967	2264.591	12.276	13.397	3.513	 
70	1939351	14.406	51.711	11.7786	8.163	15.424	15.726	1320.01	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2317.082	2256.083	12.237	13.578	3.517	 
71	1939351	14.63	52.509	11.7733	8.1612	14.893	15.712	1318.54	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2302.355	2251.633	12.502	13.502	3.521	 
72	1939351	14.826	53.25	11.7705	8.161	13.794	15.121	1320.26	8.6	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2304.34	2248.785	12.929	13.383	3.522	 
73	1939351	15.036	54.049	11.753	8.1701	13.579	14.715	1330.14	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2311.107	2253.854	13.313	13.568	3.52	 
74	1939351	15.246	54.79	11.7635	8.1703	13.609	15.193	1327.09	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2333.243	2264.703	13.432	13.954	3.52	 
75	1939351	15.456	55.531	11.7821	8.179	13.629	15.867	1341.65	8.8	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2364.702	2273.907	13.209	14.006	3.523	 
76	1939351	15.652	56.273	11.7932	8.1956	13.131	15.869	1363.48	8.8	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2384.761	2278.267	13.143	14.149	3.522	 
77	1939351	15.862	57.072	11.7899	8.2014	13.13	16.089	1367.67	8.8	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2395.742	2277.955	13.395	14.355	3.525	 
78	1939351	16.058	57.814	11.7972	8.2044	13.378	16.273	1374.53	8.8	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2396.922	2273.254	13.696	14.76	3.524	 
79	1939351	16.268	58.556	11.7822	8.2075	13.501	16.484	1379.08	8.8	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2384.378	2271.514	13.785	14.788	3.528	 
80	1939351	16.478	59.356	11.787	8.2143	13.643	16.667	1387.31	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2356.624	2266.289	14.015	14.578	3.529	 
81	1939351	16.688	60.099	11.7949	8.2226	14.173	16.428	1399.25	8.6	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2333.858	2260.93	14.256	14.638	3.53	 
82	1939351	16.898	60.842	11.8	8.2102	14.443	16.248	1391.33	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2317.217	2251.636	14.24	14.822	3.533	 
83	1939351	17.094	61.644	11.7967	8.2012	14.739	16.523	1383.27	8.6	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2302.538	2248.595	13.87	15.063	3.537	 
84	1939351	17.304	62.389	11.7978	8.1943	15.881	16.614	1383.18	8.5	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2304.793	2256.474	14.456	15.249	3.543	 
85	1939351	17.5	63.136	11.795	8.1994	15.83	16.592	1387.82	8.5	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2320.801	2262.72	14.792	15.285	3.549	 
86	1939351	17.71	63.883	11.7717	8.1994	15.073	16.781	1389.21	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2335.889	2266.975	14.849	15.273	3.554	 
87	1939351	17.92	64.689	11.771	8.1961	13.531	16.654	1385.12	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2369.28	2275.32	15.041	15.077	3.559	 
88	1939351	18.13	65.439	11.7746	8.194	12.856	16.515	1385.38	8.6	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2383.637	2287.503	14.863	15.076	3.563	 
89	1939351	18.34	66.247	11.7786	8.1839	12.066	16.533	1379.21	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2395.972	2293.32	15.073	15.644	3.569	 
90	1939351	18.536	66.999	11.7586	8.1865	12.83	17.391	1380.25	8.7	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2390.546	2285.928	15.58	16.467	3.573	 
91	1939351	18.746	67.752	11.73	8.173	14.259	17.102	1366.89	8.4	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2357.395	2272.611	16.144	16.748	3.58	 
92	1939351	18.956	68.506	11.7253	8.1554	15.386	16.881	1348.48	8.6	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2326.95	2261.996	16.484	16.673	3.588	 
93	1939351	19.166	69.32	11.6931	8.1392	15.435	16.92	1343.05	8.4	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2310.699	2258.812	16.439	16.998	3.595	 
94	1939351	19.376	70.078	11.6955	8.1204	15.404	16.665	1329.04	8.4	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2297.008	2255.819	16.473	17.009	3.604	 
95	1939351	19.572	70.837	11.6706	8.0969	15.079	15.883	1321.33	8.3	796.36298	4103	216000	1501.276	1003729	0.441138102	45403.33843	166.3544447	100	2298.049	2253.732	16.542	17.217	3.609	 
96	1939351	19.782	71.598	11.6864	8.084	14.289	15.085	1303.27	8.3	796.36298	4103	216000	1501.276	1003729	0.400195579	44900.90538	165.9300362	100	2308.168	2252.706	17.014	17.149	3.616	 
97	1939351	19.992	72.418	11.6714	8.0767	13.984	15.283	1301.31	8.3	796.36298	4103	216000	1501.276	1003729	0.394659483	44594.61069	166.2800483	100	2333.39	2258.513	17.421	17.235	3.62	 
98	1939351	20.202	73.181	11.6725	8.0889	13.198	15.268	1310.46	8.3	796.36298	4103	216000	1501.276	1003729	0.394126728	44477.78866	167.4561907	100	2362.794	2264.62	17.312	17.596	3.627	 
99	1939351	20.398	73.945	11.6881	8.0917	12.242	14.935	1315.63	8.4	796.36298	4103	216000	1501.276	1003729	0.440253037	44439.17575	163.8029317	100	2388.035	2267.994	17.127	17.881	3.633	 
100	1939351	20.608	74.71	11.678	8.1019	11.757	15.159	1325.38	8.5	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2398.184	2276.421	17.176	18.059	3.64	 
101	1939351	20.818	75.477	11.6859	8.0823	12.511	16.31	1307.91	8.5	796.36298	4103	216000	1501.276	1003729	0	0	0	100	2399.964	2279.997	17.013	18.494	3.647	 
102	1939351	21.014	76.246	11.6921	8.0938	14.693	17.358	1320.88	8.3	796.36298	4103	216000	1501.276	1003729	0.376038439	44922.68566	171.3331632	100	2390.301	2276.77	17.336	18.062	3.657	 
103	1939351	21.224	77.017	11.709	8.1011	15.568	16.487	1329.25	8.3	796.36298	4103	216000	1501.276	1003729	0.399598411	45897.04303	169.7908089	100	2366.766	2268.41	17.698	17.822	3.669	 
104	1939351	21.434	77.849	11.7039	8.0966	15.42	16.433	1326.91	8.4	796.36298	4103	216000	1501.276	1003729	0.494371249	45816.51858	163.7838588	100	2332.329	2258.008	17.468	18.063	3.679	 
105	1939351	21.644	78.625	11.7023	8.0815	14.606	15.991	1312.93	8.2	796.36298	4103	216000	1501.276	1003729	0.340166252	45160.11117	173.9899123	100	2310.875	2248.636	17.498	18.494	3.687	 
106	1939351	21.84	79.402	11.6948	8.071	14.738	15.963	1301.45	8.2	796.36298	4103	216000	1501.276	1003729	0.339064736	44880.92771	172.7063236	100	2305.147	2244.787	17.742	18.413	3.696	 
107	1939351	22.05	80.181	11.7099	8.0766	14.985	15.386	1310.28	8.2	796.36298	4103	216000	1501.276	1003729	0.343816682	45499.56956	172.7248564	100	2295.699	2247.244	18.282	18.403	3.71	 
108	1939351	22.26	81.023	11.6795	8.0777	14.338	15.453	1306.17	8.1	796.36298	4103	216000	1501.276	1003729	0.324063545	44855.50867	176.092209	100	2295.234	2255.882	18.486	18.281	3.718	 
109	1939351	22.47	81.807	11.6938	8.0748	14.332	16.107	1300.74	8.2	796.36298	4103	216000	1501.276	1003729	0.336210759	44610.55997	173.1034558	100	2312.715	2263.2	18.623	18.491	3.727	 
110	1939351	22.666	82.593	11.7046	8.0743	13.574	15.887	1299.66	8.2	796.36298	4103	216000	1501.276	1003729	0.326079185	44387.39083	173.91469	100	2345.989	2265.883	18.723	18.985	3.739	 
111	1939351	22.876	83.382	11.6997	8.0766	12.589	16.316	1297.25	8.3	796.36298	4103	216000	1501.276	1003729	0.34206707	43724.86318	170.9675288	100	2367.517	2270.914	19.318	19.593	3.751	 
112	1939351	23.086	84.172	11.7008	8.0859	12.212	17.332	1304.55	8.2	796.36298	4103	216000	1501.276	1003729	0.309756942	43434.80294	177.8691183	100	2379.524	2277.071	19.629	19.706	3.76	 
113	1939351	23.296	85.026	11.6989	8.0833	11.75	16.796	1302.46	8.3	796.36298	4103	216000	1501.276	1003729	0.33204284	43337.95505	173.1741338	100	2387.966	2280.302	19.558	19.769	3.772	 
114	1939351	23.492	85.76	11.7089	8.0746	12.614	16.528	1296.14	8.3	796.36298	4103	216000	1501.276	1003729	0.334333347	43709.42687	171.7784479	100	2386.432	2281.348	19.781	20.092	3.782	 
115	1939351	23.702	86.619	11.6891	8.0633	15.045	17.534	1279.37	8.1	796.36298	4103	216000	1501.276	1003729	0.306738702	43862.81787	176.4059708	100	2374.52	2272.467	20.321	20.587	3.798	 
116	1939351	23.912	87.421	11.6866	8.048	16.233	17.884	1258.48	8	796.36298	4103	216000	1501.276	1003729	0.292743308	43690.76414	177.0904178	100	2352.11	2260.532	20.461	20.591	3.818	 
117	1939351	24.108	88.226	11.6768	8.0404	15.855	16.215	1252.12	8	796.36298	4103	216000	1501.276	1003729	0.299533499	43792.78215	174.1165112	100	2325.02	2259.065	20.663	21.148	3.835	 
118	1939351	24.318	89.097	11.6634	8.0342	15.706	15.649	1237.48	7.9	796.36298	4103	216000	1501.276	1003729	0.288207325	43380.74276	174.692896	100	2302.537	2253.82	20.736	21.55	3.847	 
119	1939351	24.528	89.908	11.6631	8.0235	15.165	15.693	1223.69	7.9	796.36298	4103	216000	1501.276	1003729	0.282142743	42766.92283	173.7518048	100	2294.547	2244.042	20.817	21.447	3.861	 
120	1939351	24.738	90.721	11.6718	8.0223	13.765	14.741	1220.3	8	796.36298	4103	216000	1501.276	1003729	0.289745419	42396.84648	170.3269391	100	2297.187	2236.45	20.876	21.561	3.87	 
121	1939351	24.948	91.537	11.6884	8.0349	13.364	14.255	1233.6	8	796.36298	4103	216000	1501.276	1003729	0.289766288	42815.86804	171.5833936	100	2311.92	2244.904	20.906	20.925	3.876	 
122	1939351	25.144	92.416	11.689	8.0532	12.474	15.051	1246.22	8	796.36298	4103	216000	1501.276	1003729	0.284825432	42497.48504	174.6730641	100	2339.934	2254.579	20.641	21.032	3.883	 
123	1939351	25.354	93.234	11.6927	8.0524	11.842	16.182	1246.13	8	796.36298	4103	216000	1501.276	1003729	0.274514921	41931.35217	177.0109661	100	2355.943	2258.805	20.805	21.159	3.886	 
124	1939351	25.564	94.053	11.6938	8.0588	12.728	16.558	1247.77	8	796.36298	4103	216000	1501.276	1003729	0.279457786	42217.48391	176.8145121	100	2367.412	2269.247	20.883	21.243	3.893	 
125	1939351	25.774	94.936	11.7041	8.0575	14.514	16.785	1247.03	7.9	796.36298	4103	216000	1501.276	1003729	0.274424919	42970.40393	178.6173058	100	2385.492	2274.184	20.838	21.414	3.904	 
126	1939351	25.984	95.759	11.6964	8.0592	15.952	16.896	1248.54	8	796.36298	4103	216000	1501.276	1003729	0.298396769	43533.2335	174.3628041	100	2393.286	2272.967	21.36	21.686	3.914	 
127	1939351	26.194	96.584	11.7024	8.0482	16.911	16.491	1237.41	7.9	796.36298	4103	216000	1501.276	1003729	0.28801368	43813.31366	175.0867166	100	2394.41	2273.884	21.63	22.012	3.925	 
128	1939351	26.404	97.475	11.6983	8.0443	16.584	15.801	1229.74	7.8	796.36298	4103	216000	1501.276	1003729	0.276918814	43634.34027	176.3311782	100	2389.436	2270.088	22.312	22.481	3.935	 
129	1939351	26.6	98.304	11.6938	8.0429	14.903	15.209	1230.14	7.9	796.36298	4103	216000	1501.276	1003729	0.282499528	43074.69722	174.0500943	100	2369.036	2266.038	22.613	22.858	3.942	 
130	1939351	26.81	99.135	11.6831	8.0485	13.688	15.38	1231.36	7.7	796.36298	4103	216000	1501.276	1003729	0.255946741	42459.57932	180.6791097	100	2337.656	2256.478	22.613	23.236	3.947	 
131	1939351	27.02	100.03	11.6835	8.0522	12.801	14.838	1235.16	7.8	796.36298	4103	216000	1501.276	1003729	0.264946936	42333.12642	178.3349816	100	2314.244	2244.583	23.148	23.341	3.952	 
132	1939351	27.216	100.863	11.6863	8.0485	12.09	15.313	1227.06	7.7	796.36298	4103	216000	1501.276	1003729	0.249635864	41683.23162	180.8036125	100	2296.231	2238.342	23.448	23.704	3.955	 
133	1939351	27.426	101.696	11.7144	8.0467	12.649	15.917	1225.01	7.7	796.36298	4103	216000	1501.276	1003729	0.246549524	41870.20446	181.0103182	100	2294.677	2238.842	23.361	23.508	3.962	 
134	1939351	27.65	102.595	11.7301	8.0541	13.115	16.216	1232.31	7.8	796.36298	4103	216000	1501.276	1003729	0.255342253	42264.49826	179.858795	100	2305.656	2246.224	23.348	23.681	3.97	 
135	1939351	27.846	103.431	11.7517	8.0542	12.903	16.548	1233.63	7.9	796.36298	4103	216000	1501.276	1003729	0.259518925	42250.78948	178.3678089	100	2321.529	2251.465	23.243	23.882	3.974	 
136	1939351	28.056	104.269	11.7485	8.0594	14.019	17.721	1236.89	7.8	796.36298	4103	216000	1501.276	1003729	0.252804324	42447.7117	181.7682532	100	2351.168	2260.08	23.451	23.918	3.982	 
137	1939351	28.266	105.172	11.7595	8.0623	14.576	17.068	1241.18	7.8	796.36298	4103	216000	1501.276	1003729	0.256721493	43062.72073	181.1903586	100	2367.494	2267.048	23.086	23.985	3.992	 
138	1939351	28.462	106.013	11.736	8.0752	15.226	16.726	1253.74	7.8	796.36298	4103	216000	1501.276	1003729	0.266611441	43605.66086	181.5532066	100	2373.686	2272.534	23.165	23.954	3.997	 
139	1939351	28.672	106.92	11.7331	8.0915	15.954	16.779	1260.17	7.6	796.36298	4103	216000	1501.276	1003729	0.254353904	43995.00743	186.6536323	100	2379.319	2276.39	23.518	23.887	3.999	 
140	1939351	28.896	107.763	11.7008	8.0952	15.871	16.469	1252.96	7.7	796.36298	4103	216000	1501.276	1003729	0.270175639	43578.55722	182.5358779	100	2381.836	2275.058	23.814	23.915	4.007	 
141	1939351	29.092	108.607	11.6836	8.0777	15.195	16.68	1241.27	7.7	796.36298	4103	216000	1501.276	1003729	0.264857934	42859.69509	181.9449941	100	2373.505	2267.912	24.278	24.385	4.014	 
